"Item","Qty","Reference(s)","Value","Size (Imperial)","P/N","URL"
"Capacitor","1","C1","100nF","0805","",""
"Inverter","1","U1","74LVC1G04","SOT-23-5","SN74LVC1G04DBVR","https://www.digikey.co.uk/short/q94n5n4v"
"Varistor","1","R163","250V","","","Obsolete, reuse old part"
"Diode","1","D151","1N4148","SOD-123","1N4148W-7-F","https://www.digikey.co.uk/short/0tb77nc3"
"Diode","1","D153","RGP10B","DO-41","","https://www.digikey.co.uk/short/dnzptpbv"
"Transistor","1","Q151","2SD468","TO-92","","Obsolete, reuse old part"
"Connector","1","J1","Molex KK100, 6373","","22-23-2033","https://www.digikey.co.uk/short/rzfj2mbw"
"Connector","1","J2","Molex KK396, 5273","","09-65-2068","https://www.digikey.co.uk/short/9mqpdqwd"
"Connector","1","J3","Molex Mini-Fit Jr","","39-29-1227","https://www.digikey.co.uk/short/t949vm2z"
"Inductor","1","L4","","","","Obsolete, reuse old part"
