Designator,Footprint,Quantity,Value,LCSC Part #
"_3, _2, ",,3,,
C1,0805,1,100nF,C49678
D151,D_SOD-123,1,~,C83528
D153,D_DO-41_SOD81_P10.16mm_Horizontal,1,~,
J1,FanPinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J2,Pete_840AV_1x05_P4.00mm_Horizontal,1,Conn_01x05,
J3,Molex_Mini-Fit_Jr_5569-22A1_2x11_P4.20mm_Horizontal_PETER,1,MAC-22,
L4,L_Radial_L8.0mm_W8.0mm_P5.00mm_Neosid_SD8_PETER,1,L,
PAD10,SinglePad_PSU_Peter_6_+12V,1,~,
"PAD11, PAD12, PS_ON1",SinglePad_PSU_Peter_3_5VSB_-12V_PSON,3,~,
"PAD13, PAD14",SinglePad_PSU_Peter_1,2,~,
"PAD3, PAD4, PAD5, PAD7",SinglePad_PSU_Peter,4,~,
Q151,TO-92_Inline_W4.0mm_Horizontal_FlatSideDown_PETER,1,2SD468,
Q152,TO-220-3_Horizontal_TabDown,1,D44C8,
R163,RV_Disc_D7mm_W3.4mm_P5mm,1,250V,
R164,0805,1,5.6K,C114538
"R165, R166",0805,2,1.5K,C114555
"R167, R169",0805,2,1K,C95781
R168,0805,1,680,C93658
R170,0805,1,2.2K,C114237
R171,0805,1,2.4K,C114236
R172,0805,1,27K,C114533
RL1,Relay_SPST_Omron_G2RL-1A,1,SS-112LM,
U1,SOT-23-5,1,74LVC1G04,C7827
ZD151,D_DO-35_SOD27_P10.16mm_Horizontal,1,~,
